Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Kasjer-sprzedawca"; "34-210 Zembrzyce 567, powiat: suski, woj: małopolskie"; "Umowa o pracę na czas określony"; "F.U.H. PARTNER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 19.11.2021; 
"Kelner"; "34-231 Juszczyn 474, powiat: suski, woj: małopolskie"; "Umowa o pracę na okres próbny"; "BABIOGÓRSKIE CENTRUM REHABILITACJI I HIPOTERAPII ""KLAUDIA"" BOŻENA MOSUR"; 19.11.2021; 
"Pracownik produkcyjny"; "34-220 Białka 556A, powiat: suski, woj: małopolskie"; "Umowa o pracę na czas określony"; "SAMANTA-Adamek sp.j."; 19.11.2021; 
"Pracownik pomocniczy w przygotowaniu produkcji."; "34-220 Białka 556A, powiat: suski, woj: małopolskie"; "Umowa o pracę na czas określony"; "SAMANTA-Adamek sp.j."; 19.11.2021; 
"Sprzedawca (oferta dla dwóch osób na 1/1 i 1/2 etatu)"; "Południowa 67, 27-200 Starachowice, powiat: starachowicki, woj: świętokrzyskie"; "Umowa o pracę na czas określony"; "Pawilon Laguna Ewa Stygar"; 19.11.2021; 
"Tokarz"; "Podłęska 17, 32-005 Niepołomice, powiat: wielicki, woj: małopolskie"; "Umowa o pracę na czas określony"; "MARSEPLAST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 19.11.2021; 
"Ślusarz narzędziowy"; "Podłęska 17, 32-005 Niepołomice, powiat: wielicki, woj: małopolskie"; "Umowa o pracę na czas określony"; "MARSEPLAST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 19.11.2021; 
"Pielęgniarka dyplomowana"; "Warszawska 30, 59-900 Zgorzelec, powiat: zgorzelecki, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "GRUPOWA PRAKTYKA LEKARSKA SPÓŁKA CYWILNA W ZGORZELCU : 1)EDWINA BUŚKO-HRYBACZ, 2)MARIA MAJEWSKA, 3)SZULC GRZEGORZ"; 19.11.2021; 
"fryzjer/asystent fryzjera"; "Mostowa 16 A, 32-410 Dobczyce, powiat: myślenicki, woj: małopolskie"; "Umowa o pracę na okres próbny"; "Femi Sfera s.c Jolanta Skrzydlewska Marek Skrzydlewski"; 19.11.2021; 
"Cieśla"; "40-013 Katowice, powiat: m. Katowice, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "KURDE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 19.11.2021; 
"Zbrojarz"; "40-013 Katowice, powiat: m. Katowice, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "KURDE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 19.11.2021; 
"Monter izolacji budowlanych"; "40-013 Katowice, powiat: m. Katowice, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "KURDE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 19.11.2021; 
"Pracownik ogólnobudowlany"; "40-013 Katowice, powiat: m. Katowice, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "KURDE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 19.11.2021; 
"Malarz-lakiernik konstrukcji i wyrobów metalowych"; "07-440 Rębisze-Kolonia 21, powiat: ostrołęcki, woj: mazowieckie"; "Umowa o pracę na czas określony"; "RAFAŁ DUMAŁA DUM-CAR"; 19.11.2021; 
"135 - pielęgniarka"; "WYŚCIGOWA 16, 26-600 Radom, powiat: m. Radom, woj: mazowieckie"; "Umowa o pracę na czas określony"; "DOM POMOCY SPOŁECZNEJ WETERANA WALKI I PRACY"; 19.11.2021; 
"129 - blacharz samochodowy"; "KIELECKA 56, 26-600 Radom, powiat: m. Radom, woj: mazowieckie"; "Umowa o pracę na okres próbny"; "AUTOCENTRUM s.c. Hubert Kinas i Romuald Kinas"; 19.11.2021; 
"128 - pracownik budowlany"; "KIELECKA 56, 26-600 Radom, powiat: m. Radom, woj: mazowieckie"; "Umowa o pracę na okres próbny"; "AUTOCENTRUM s.c. Hubert Kinas i Romuald Kinas"; 19.11.2021; 
"129 - mechanik samochodów osobowych"; "KIELECKA 56, 26-600 Radom, powiat: m. Radom, woj: mazowieckie"; "Umowa o pracę na okres próbny"; """AUTOCENTRUM"" HUBERT KINAS"; 19.11.2021; 
"Robotnik gospodarczy/ konserwator"; "3 Maja 57, 42-622 Świerklaniec, powiat: tarnogórski, woj: śląskie"; "Umowa o pracę na okres próbny"; "BENEDYKT NOWAK NOWAK TRANSPORT"; 19.11.2021; 
"Cholewkarz"; "Palecka 52, 34-143 Lanckorona, powiat: wadowicki, woj: małopolskie"; "Umowa o pracę na okres próbny"; "Zakład Produkcji Obuwia ""Lan-Kars"" A.J.Karelus sp. j."; 19.11.2021; 
"Młodszy wychowawca"; "Stefana Żeromskiego 2, 41-400 Mysłowice, powiat: m. Mysłowice, woj: śląskie"; "Umowa o pracę na czas określony"; "Dom Dziecka w Mysłowicach im. św. Ojca Pio"; 19.11.2021; 
"Sprzedawca"; "63-720 Koźmin Wielkopolski, powiat: krotoszyński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Wielobranżowe ANKA Koźmin, Artur Kuliński"; 19.11.2021; 
"pracownik produkcji"; "56-330 Cieszków, powiat: milicki, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "PRZERÓB KAMIENIA HIERONIM KOSTKA"; 19.11.2021; 
"Tokarz"; "76-009 Bonin 44C, powiat: koszaliński, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Inter-Metal S.C."; 19.11.2021; 
"Pracownik Gospodarczy"; "76-009 Bonin 44C, powiat: koszaliński, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "Inter-Metal S.C."; 19.11.2021; 
"Stolarz"; "Wyzwolenia 22, 41-103 Siemianowice Śląskie, powiat: m. Siemianowice Śląskie, woj: śląskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO ""OPA-LABOR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 19.11.2021; 
"Monter stolarki budowlanej"; "Siemianowice Śląskie, powiat: m. Siemianowice Śląskie, woj: śląskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 19.11.2021; 
"Pracownik ogólnobudowlany"; "1 Maja 13, 27-200 Starachowice, powiat: starachowicki, woj: świętokrzyskie"; "Umowa o pracę na czas określony"; "PPHU BESTEMA s.c. Jacek Banaczkowski"; 19.11.2021; 
"Kierowca- operator maszyn specjalnych"; "66-400 Gorzów Wielkopolski, powiat: m. Gorzów Wielkopolski, woj: lubuskie"; "Umowa o pracę na okres próbny"; "Miejski Zakład Komunikacji w Gorzowie Wlkp. Sp. z o.o."; 19.11.2021; 
"Elektromonter sieci trakcyjnej"; "66-400 Gorzów Wielkopolski, powiat: m. Gorzów Wielkopolski, woj: lubuskie"; "Umowa o pracę na okres próbny"; "Miejski Zakład Komunikacji w Gorzowie Wlkp. Sp. z o.o."; 19.11.2021; 
"Ślusarz"; "66-400 Gorzów Wielkopolski, powiat: m. Gorzów Wielkopolski, woj: lubuskie"; "Umowa o pracę na okres próbny"; "Miejski Zakład Komunikacji w Gorzowie Wlkp. Sp. z o.o."; 19.11.2021; 
"Terapeuta integracji sensorycznej"; "Krasnystaw, powiat: krasnostawski, woj: lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 18.11.2021; 
"Terapeuta ruchowy"; "Krasnystaw, powiat: krasnostawski, woj: lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 18.11.2021; 
"kasjer-sprzedawca (sprzedawca w stacji paliw)"; "Armii Krajowej 5, 22-100 Chełm, powiat: olkuski, woj: małopolskie"; "Umowa o pracę na czas określony"; "ELŻBIETA FURMAN"; 18.11.2021; 
"Technik prac biurowych"; "Łowicz, powiat: łowicki, woj: łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; 18.11.2021; 
"Doradca rolniczy"; "Zwycięska 8, 53-033 Wrocław, powiat: m. Wrocław, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "Dolnośląski Ośrodek Doradztwa Rolniczego"; 19.11.2021; 
"Mechanik samochodowy"; "36-130 Staniszewskie 63, powiat: kolbuszowski, woj: podkarpackie"; "Umowa o pracę na okres próbny"; "KRZYSZTOF POCZEKAJŁO „KRZYŚ CARS”"; 19.11.2021; 
"Specjalista do spraw marketingu"; "Wolnica 10/1, 31-060 Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na czas określony"; "TOMASZ NOWAK NOWAK ESTATE"; 19.11.2021; 
"Specjalista ds. księgowości  "; "Starowiejska 18, 32-800 Brzesko, powiat: brzeski, woj: małopolskie"; "Umowa o pracę na okres próbny"; "AQUAFOREST SP. Z O.O. SP.K."; 19.11.2021; 
"KELNER"; "LUDWIKA WARYŃSKIEGO 5, 47-223 Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na czas nieokreślony"; "SOLIDARIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 19.11.2021; 
"KUCHARZ "; "Wyzwolenia 32, 47-280 Pawłowiczki, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na okres próbny"; "Bożena Sitko Działalnośc Gastronomiczno-Kulturalna ""RELAX"""; 19.11.2021; 
"KIEROWCA SAMOCHODÓW CIĘŻAROWYCH"; "Mostowa 30e, 47-223 Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na czas określony"; "SOLIDARIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 19.11.2021; 
"KIEROWCA SAMOCHODU KAT. C + E"; "47-200 Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na czas nieokreślony"; "Tomasz Kowalski Firma Wielobranżowa"; 19.11.2021; 
"PRACOWNIK OGÓLNOBUDOWLANY"; "47-200 Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na okres próbny"; "MAKAT Tomasz Makuch"; 19.11.2021; 
"Tokarz CNC Frezer CNC"; "JAGIELLOŃSKA 109, 25-734 Kielce, powiat: m. Kielce, woj: świętokrzyskie"; "Umowa o pracę na czas nieokreślony"; "ISKRA Centrum Narzędzi Specjalnych Sp. z o.o."; 19.11.2021; 
"Kasjer handlowy"; "Zagnańska 69, 25-900 Kielce, powiat: m. Kielce, woj: świętokrzyskie"; "Umowa o pracę na okres próbny"; "MERKURY MARKET SP. Z O.O. Sp. K."; 19.11.2021; 
"Pracownik gospodarczy"; "25-900 Kielce, powiat: m. Kielce, woj: świętokrzyskie"; "Umowa o pracę na okres próbny"; "SKAREM SP ZO.O."; 19.11.2021; 
" Specjalista ds. obsługi klienta "; "Hauke Bosaka 2, 25-900 Kielce, powiat: m. Kielce, woj: świętokrzyskie"; "Umowa o pracę na okres próbny"; "EFFECT GLASS S.A. Kielce"; 19.11.2021; 
"Lakiernik"; "Zagorzyce, powiat: ropczycko-sędziszowski, woj: podkarpackie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 19.11.2021; 
"Pomocniczy robotnik budowlany (doposażenie stanowiska pracy POWER 2020 - uzupełnienie stanu zatrudnienia) "; "Wałbrzych, powiat: m. Wałbrzych, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 19.11.2021; 
"Przedstawiciel ubezpieczeniowy"; "64-920 Piła, powiat: pilski, woj: wielkopolskie"; "Umowa agencyjna"; "UNIQA POLSKA SPÓŁKA AKCYJNA"; 19.11.2021; 
"Murarz"; "Wąbrzeźno, powiat: wąbrzeski, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 19.11.2021; 
"Ślusarz"; "Niepodległości 2, 87-200 Wąbrzeźno, powiat: wąbrzeski, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "FIRMA USŁUGOWO-HANDLOWA ""ANMAR"" ANITA ŚWIŚ, SZYMON ŚWIŚ"; 19.11.2021; 
"ELEKTRYK"; "44600 Saint-Nazare, Francja"; "Umowa o pracę na czas nieokreślony"; "do wiadomości urzędu "; 19.11.2021; 
"PRACOWNIK FIZYCZNY"; "Wodzisław Śląski, powiat: wodzisławski, woj: śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 04.11.2021; 
"sprzedawca"; "Kościuszki 32, 63-500 Ostrzeszów, powiat: ostrzeszowski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; """DROBUD"" PRZEDSIĘBIORSTWO-USŁUGOWO-HANDLOWE JANKOWSKI GRZEGORZ"; 18.11.2021; 
"Piaskarz"; "Białoboki, powiat: przeworski, woj: podkarpackie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 18.11.2021; 
"Konstruktor lekkiej obudowy"; "41-600 Świętochłowice, powiat: m. Świętochłowice, woj: śląskie"; "Umowa o pracę na czas określony"; "ZEMAN HDF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Referent ds. handlu ST POWER 701/3384/765/21"; "Włocławek, powiat: m. Włocławek, woj: kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; 10.11.2021; 
"Kierownik lakierni frontów drewnianych"; "44-200 Rybnik, powiat: m. Rybnik, woj: śląskie"; "Umowa o pracę na czas określony"; """BAUPLATZ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Pracownik lakierni frontów drewnianych"; "44-200 Rybnik, powiat: m. Rybnik, woj: śląskie"; "Umowa o pracę na czas określony"; """BAUPLATZ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Pomocnik mechanika"; "09-500 Bierzewice 77, powiat: gostyniński, woj: mazowieckie"; "Umowa o pracę na okres próbny"; "MECHANIKA POJAZDOWA MARIUSZ NEJMAN"; 18.11.2021; 
"Spawacz TIG MAG - OfPr/21/0924 "; "FABRYCZNA 2, 46-100 Namysłów, powiat: namysłowski, woj: opolskie"; "Umowa o pracę na czas określony"; "METALOWIEC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Ślusarz narzędziowy-OfPr/21/0925"; "FABRYCZNA 2, 46-100 Namysłów, powiat: namysłowski, woj: opolskie"; "Umowa o pracę na czas określony"; "METALOWIEC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Pracownik utrzymania ruchu"; "Stalmacha 8, 41-100 Siemianowice Śląskie, powiat: m. Siemianowice Śląskie, woj: śląskie"; "Umowa o pracę na okres próbny"; "GEOPLASTIC SP. Z O.O."; 18.11.2021; 
"SPECJALISTA W ZESPOLE KSZTAŁCENIA, WYCHOWANIA ORAZ ROZWOJU ZAWODOWEGO"; "Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; 18.11.2021; 
"SPECJALISTA REFUNDACJI"; "Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; 18.11.2021; 
"Operator maszyn"; "Zaścianki, powiat: białostocki, woj: podlaskie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; 18.11.2021; 
"Drukarz pomocnik"; "Zaścianki k. Kurowszczyzny, powiat: sokólski, woj: podlaskie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; 18.11.2021; 
"Pakowacz"; "Zaścianki k. Kurowszczyzny, powiat: sokólski, woj: podlaskie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; 18.11.2021; 
"Pomocnik tapicera"; "Olesno, powiat: oleski, woj: opolskie"; "Umowa o pracę na czas określony"; "kontakt przez OHP"; 18.11.2021; 
"Stolarz"; "Olesno, powiat: oleski, woj: opolskie"; "Umowa o pracę na czas określony"; "kontakt przez OHP"; 18.11.2021; 
"Operator urządzeń do obróbki  drewna"; "Olesno, powiat: oleski, woj: opolskie"; "Umowa o pracę na czas określony"; "kontakt przez OHP"; 18.11.2021; 
"Lakiernik wyrobów drewnianych"; "Olesno, powiat: oleski, woj: opolskie"; "Umowa o pracę na czas określony"; "kontakt przez OHP"; 18.11.2021; 
"Pomocnik stolarza"; "Olesno, powiat: oleski, woj: opolskie"; "Umowa o pracę na czas określony"; "kontakt przez OHP"; 18.11.2021; 
"Tapicer"; "Olesno, powiat: oleski, woj: opolskie"; "Umowa o pracę na czas określony"; "kontakt przez OHP"; 18.11.2021; 
"Kontroler jakości wyrobów z drewna"; "Olesno, powiat: oleski, woj: opolskie"; "Umowa o pracę na czas określony"; "kontakt przez OHP"; 18.11.2021; 
"Pomocnik lakiernika wyrobów drewnianych"; "Olesno, powiat: oleski, woj: opolskie"; "Umowa o pracę na czas określony"; "kontakt przez OHP"; 18.11.2021; 
"Fizjoterapeuta"; "Wyzwolenia 19, 43-460 Wisła, powiat: cieszyński, woj: śląskie"; "Umowa o pracę na czas określony"; "BEKABE SP.Z O.O."; 18.11.2021; 
"OPERATOR MASZYN"; "Wola Krzysztoporska, powiat: piotrkowski, woj: łódzkie"; "Umowa agencyjna"; "kontakt przez OHP"; 18.11.2021; 
"pomocnik kucharza"; "Czepino, powiat: gryfiński, woj: zachodniopomorskie"; "Umowa o pracę na czas określony"; "kontakt przez OHP"; 16.11.2021; 
"Ratownik wodny "; "Kusocińskiego 17, 57-200 Ząbkowice Śląskie, powiat: ząbkowicki, woj: dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Ząbkowickie Centrum Sportu i Rekreacji Sp. zo.o."; 18.11.2021; 
"Konserwator"; "Kusocińskiego 17, 57-200 Ząbkowice Śląskie, powiat: ząbkowicki, woj: dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Ząbkowickie Centrum Sportu i Rekreacji Sp. zo.o."; 18.11.2021; 
"BETONIARZ-ZBROJARZ"; "Bielsko-Biała, powiat: m. Bielsko-Biała, woj: śląskie"; "Umowa o pracę na okres próbny"; "kontakt przez OHP"; 18.11.2021; 
"Pomocnik z zakresu obsługi urządzeń rozrywkowych"; "Zator, powiat: oświęcimski, woj: małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez OHP"; 16.11.2021; 
"Pielęgniarka"; "Wiejska 10, 72-510 Wolin, powiat: kamieński, woj: zachodniopomorskie"; "Umowa o pracę na czas nieokreślony"; "Żłobek Miejski w Wolinie"; 18.11.2021; 
"Kierowca samochodu ciężarowego kat C+E"; "23-114 Piotrków Pierwszy 108A, powiat: lubelski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "SCANTRANS KLIMEK KRZYSTOF"; 18.11.2021; 
"Elektromechanik"; "Strefowa 6/8, 19-300 Ełk, powiat: ełcki, woj: warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "PORTA KMI POLAND SPÓŁKA AKCYJNA W BOLSZEWIE ODDZIAŁ W EŁKU"; 18.11.2021; 
"Robotnik przygotowujący drewno"; "Urszulewo, powiat: rypiński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 18.11.2021; 
"Formierz ręczny"; "Ujastek 1, 31-752 Kraków, powiat: m. Kraków, woj: małopolskie"; "Umowa o pracę na okres próbny"; "KRAKODLEW SPÓŁKA AKCYJNA"; 18.11.2021; 
"Aparatowy"; "99-306 Niedrzew Pierwszy 2, powiat: kutnowski, woj: łódzkie"; "Umowa o pracę na okres próbny"; "OKRĘGOWA SPÓŁDZIELNIA MLECZARSKA - PROSZKOWNIA MLEKA"; 18.11.2021; 
"Aparatowy"; "Łęczycka 38, 99-340 Krośniewice, powiat: kutnowski, woj: łódzkie"; "Umowa o pracę na okres próbny"; "OKRĘGOWA SPÓŁDZIELNIA MLECZARSKA - PROSZKOWNIA MLEKA"; 18.11.2021; 
"Operator linii produkcyjnej"; "99-306 Niedrzew Pierwszy 2, powiat: kutnowski, woj: łódzkie"; "Umowa o pracę na czas określony"; "OKRĘGOWA SPÓŁDZIELNIA MLECZARSKA - PROSZKOWNIA MLEKA"; 18.11.2021; 
"Młodszy operator"; "METALOWCÓW, 62-800 Kalisz, powiat: m. Kalisz, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "HR WORK FORCE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"PRACOWNIK OBSŁUGI HOTELU"; "Puszkina 1, 47-230 Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na okres próbny"; "ANWI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"KUCHARZ"; "Puszkina 1, 47-230 Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na okres próbny"; "ANWI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Instalator/ Instalatorka"; "Gorczyckiego 3, 86-200 Chełmno, powiat: chełmiński, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Dominik Michałowski MAGAW OCHRONA"; 18.11.2021; 
"Pozostali pracownicy obsługi biurowej"; "Szczecin, powiat: m. Szczecin, woj: zachodniopomorskie"; "Nie dotyczy"; "kontakt przez PUP"; 27.10.2021; 
"Szkutnik"; "Babinek, powiat: gryfiński, woj: zachodniopomorskie"; "Nie dotyczy"; "kontakt przez PUP"; 25.10.2021; 
"Kierowca ciągnika siodłowego (kat. C+E)"; "62-604 Straszków 116A, powiat: kolski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "EURO-GROSIK Małgorzata Kowalczyk"; 18.11.2021; 
"PRACOWNIK MAGAZYNU"; "SPÓŁDZIELCZA 45, 58-500 Jelenia Góra, powiat: m. Jelenia Góra, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "DWS DRAEXLMAIER WYPOSAŻENIE WNĘTRZ SAMOCHODOWYCH SP. Z O.O."; 18.11.2021; 
"Magazynier"; "Żeromskiego 2, 95-054 Ksawerów, powiat: pabianicki, woj: łódzkie"; "Umowa o pracę na okres próbny"; "PPHU PUBLIMA Sp. J."; 18.11.2021; 
"Pracownik gospodarczy "; "33-230 Wola Szczucińska 56, powiat: dąbrowski, woj: małopolskie"; "Umowa o pracę na czas określony"; "Tomasz Pulnik ""TOMEX"""; 18.11.2021; 
"Pracownik gospodarczy - stajenny"; "14-260 Mortęgi 3, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Fundacja Mortęska"; 18.11.2021; 
"Sprzedawca"; "Ziemowita 4, 14-200 Iława, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Petro-Bis D. Myśliński, W. Myśliński sp.j."; 18.11.2021; 
"Sprzedawca"; "Sadowa 1, 14-204 Rudzienice, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "Petro-Bis D. Myśliński, W. Myśliński sp.j."; 18.11.2021; 
"Kelner"; "14-260 Mortęgi 3, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; """PAŁAC MORTĘGI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Kucharz"; "14-260 Mortęgi 3, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; """PAŁAC MORTĘGI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 18.11.2021; 
"Ratownik medyczny"; "Andersa 3, 14-200 Iława, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Powiatowy Szpital w Iławie"; 18.11.2021; 
"Lakiernik samochodowy - blacharz"; "Barlickiego 4, 14-200 Iława, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Zakład Usługowo Handlowy Auto Naprawa-Komis Wiśniewski Zbigniew"; 18.11.2021; 
"Laborant chemiczny"; "Wojska Polskiego, 14-200 Iława, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "XELLA Polska Sp. Z O.O."; 18.11.2021; 
"Operator wózka widłowego"; "14-200 Smolniki, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Warmińsko Mazurski Klaster Meblowy Spółka z ograniczoną odpowiedzialnością Spółka komandytowo akc..."; 18.11.2021; 
"Pracownik restauracji"; "Szkolna 1b, 64-100 Lasocice, powiat: leszczyński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "GUSTO PAULINA GALANT"; 18.11.2021; 
"Pomocnik murarza"; "Gołanice, powiat: leszczyński, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 18.11.2021; 
"Nauczyciel języka obcego"; "Krzywa 19, 06-300 Przasnysz, powiat: przasnyski, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Niepubliczne Przedszkole ""Wiola"" w Przasnyszu"; 18.11.2021; 
"Gospodarz domu"; "81-853 Sopot, powiat: m. Sopot, woj: pomorskie"; "Umowa o pracę na okres próbny"; "Nauczycielska Spółdzielnia Mieszkaniowa Sopot Dolny"; 18.11.2021; 
"Cieśla"; "Kolejowa 13, 59-150 Grębocice, powiat: polkowicki, woj: dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "ŚLUFARSKI KRZYSZTOF 1. P.P.H.U.""RAJBET"" 2. TARTAK GRĘBOCICE"; 18.11.2021; 
"Blacharz samochodowy"; "86-302 Świerkocin 66, powiat: grudziądzki, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "F.P.U.H Wojciech Tarniowy"; 18.11.2021; 
"Pracownik biurowy"; "Sienna, powiat: żywiecki, woj: śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 17.11.2021; 
"Sprzedawca"; "Zamojska 179E, 22-500 Hrubieszów, powiat: hrubieszowski, woj: lubelskie"; "Umowa o pracę na okres próbny"; "HANDLOWO-PRZEMYSŁOWA SPÓŁDZIELNIA INWALIDÓW"; 18.11.2021; 
"Specjalista ds. sprzedaży i marketingu ST POWER 70/3382/764/21"; "Włocławek, powiat: m. Włocławek, woj: kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; 05.11.2021; 
"Blacharz- dekarz R64/3388-1674/21"; "87-800 Włocławek, powiat: m. Włocławek, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "FIDEM BUDOWNICTWO JOANNA TARNECKA"; 18.11.2021; 
"Pracownik dociepleń R65/3389-1675/21"; "87-800 Włocławek, powiat: m. Włocławek, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "FIDEM BUDOWNICTWO JOANNA TARNECKA"; 18.11.2021; 
"Woźny"; "Poprzeczna 16, 49-300 Brzeg, powiat: brzeski, woj: opolskie"; "Umowa o pracę w zastępstwie"; "Publiczna Szkoła Podstawowa nr 6"; 17.11.2021; 
"Murarz"; "59-700 Łaziska 79A/lok. B, powiat: bolesławiecki, woj: dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "Firma Budowlana Jolanta Rydzak"; 18.11.2021; 
