Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Cieśla szalunkowy/Zbrojarz"; "Beniowskiego 19, 80-382 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "BSU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 05.01.2022; 
"Digital Marketing Specialist with Hungarian for Social Media Project (m/f/d)"; "Grunwaldzka 472, 80-309 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "COMPETENCE CALL CENTER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Quality Analyst with Czech for Social Media Field (m/f/d)"; "Grunwaldzka 472, 80-309 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "COMPETENCE CALL CENTER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Team Manager with Czech for Social Media Field (m/f/d)"; "Grunwaldzka 472, 80-309 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "COMPETENCE CALL CENTER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 05.01.2022; 
"Asystent do spraw księgowości-oferta stażu dla osoby bezrobotnej zarejestrowanej w PUP/BIURO RACHUNKOWE JK JUSTYNA KWIATKOWSKA al. 800-lecia Inowrocławia 14A, 88-100 Inowrocław (nr 0025)"; "Inowrocław, powiat: inowrocławski, woj: kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; 05.01.2022; 
"brukarz, robotnik drogowy"; "Łużycka 1a, 89-600 Chojnice, powiat: chojnicki, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "TECHNOT Spółka z o.o."; 04.01.2022; 
"Brukarz"; "Wiejska 3, 89-606 Chojniczki, powiat: chojnicki, woj: pomorskie"; "Umowa o pracę na czas określony"; "MP BUDOWNICTWO DROGOWE PIOTR PASZKO"; 04.01.2022; 
"Pomocnik brukarza"; "Wiejska 3, 89-606 Chojniczki, powiat: chojnicki, woj: pomorskie"; "Umowa o pracę na czas określony"; "MP BUDOWNICTWO DROGOWE PIOTR PASZKO"; 04.01.2022; 
"Pomocniczy robotnik budowlany"; "Chojniczki, powiat: chojnicki, woj: pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 03.01.2022; 
"Kucharz"; "Legionowa 10, 15-099 Białystok, powiat: m. Białystok, woj: podlaskie"; "Umowa o pracę na okres próbny"; "CASABLANCA CATERING Sp. z o.o."; 05.01.2022; 
